Name,Year,Genre,Publisher,North America,Europe,Japan,Other,Global
Pac-Man Fever,2001,Misc,Sony Computer Entertainment,0.25,0.2,0,0.07,0.51
HSX HyperSonic.Xtreme,2002,Racing,Midas Interactive Entertainment,0.25,0.2,0,0.07,0.51
Jikkyou Powerful Pro Yakyuu 10,2003,Sports,Konami Digital Entertainment,0,0,0.51,0,0.51
Summoner,2000,Role-Playing,THQ,0.25,0.2,0,0.07,0.51
Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51
NHL 07,2006,Sports,Electronic Arts,0.42,0.02,0,0.07,0.51
The BIGS,2007,Sports,Take-Two Interactive,0.25,0.19,0,0.06,0.51
Silent Hill 4: The Room,2004,Action,Konami Digital Entertainment,0.25,0.19,0,0.06,0.51
Capcom Classics Collection,2005,Misc,Capcom,0.22,0.17,0.05,0.06,0.51
Monopoly Party,2002,Misc,Infogrames,0.25,0.19,0,0.06,0.51
Sonic Riders,2006,Racing,Sega,0.42,0.02,0,0.07,0.5
Looney Tunes: Back in Action,2003,Platform,Warner Bros. Interactive Entertainment,0.25,0.19,0,0.06,0.5
The Mummy Returns,2001,Action,Universal Interactive,0.25,0.19,0,0.06,0.5
Hitman: Blood Money,2006,Action,Eidos Interactive,0.25,0.19,0,0.06,0.5
Disney Sing It,2008,Misc,Disney Interactive Studios,0.25,0.19,0,0.06,0.5
Activision Anthology,2002,Misc,Activision,0.25,0.19,0,0.06,0.5
Crash: Mind Over Mutant,2008,Platform,Vivendi Games,0.25,0.19,0,0.06,0.5
Star Wars: Jedi Starfighter,2002,Simulation,Activision,0.24,0.19,0,0.06,0.5
Super Robot Taisen MX,2004,Strategy,Banpresto,0,0,0.5,0,0.5
Star Wars: Clone Wars,2002,Shooter,LucasArts,0.24,0.19,0,0.06,0.5
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,Action,THQ,0.24,0.19,0,0.06,0.5
Madden NFL 11,2010,Sports,Electronic Arts,0.41,0.02,0,0.07,0.5
Monster Hunter,2004,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5
SplashDown: Rides Gone Wild,2003,Racing,THQ,0.24,0.19,0,0.06,0.5
Shrek SuperSlam,2005,Action,Activision,0.24,0.19,0,0.06,0.5
Super Robot Taisen Z,2008,Strategy,Namco Bandai Games,0,0,0.5,0,0.5
Tomb Raider: Anniversary,2007,Action,Eidos Interactive,0.41,0.02,0,0.07,0.5
Fantastic 4,2005,Action,Activision,0.41,0.01,0,0.07,0.5
Men in Black II: Alien Escape,2002,Shooter,Infogrames,0.24,0.19,0,0.06,0.5
Nicktoons: Attack of the Toybots,2007,Platform,THQ,0.24,0.19,0,0.06,0.5
The Matrix: Path of Neo,2005,Action,Atari,0.41,0.01,0,0.07,0.49
Grandia III,2005,Role-Playing,Square Enix,0.12,0.1,0.24,0.03,0.49
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,2006,Shooter,Namco Bandai Games,0,0,0.49,0,0.49
Backyard Baseball,2004,Sports,Atari,0.24,0.19,0,0.06,0.49
WipEout Pulse,2009,Racing,Sony Computer Entertainment,0,0.15,0,0.33,0.49
Barbie Horse Adventures: Wild Horse Rescue,2003,Sports,Universal Interactive,0.24,0.19,0,0.06,0.49
Taiko no Tatsujin: Appare Sandaime,2003,Misc,Namco Bandai Games,0,0,0.49,0,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,Activision,0.25,0.01,0,0.22,0.49
Spy Hunter 2,2003,Racing,Midway Games,0.24,0.19,0,0.06,0.49
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,2001,Misc,Hudson Soft,0,0,0.49,0,0.49
Tales of Legendia,2005,Role-Playing,Namco Bandai Games,0.07,0.05,0.35,0.02,0.49
Shrek the Third,2007,Action,Activision,0.4,0.02,0,0.07,0.48
Jeopardy!,2003,Misc,Atari,0.24,0.18,0,0.06,0.48
Destroy All Humans! 2,2006,Action,THQ,0.4,0.02,0,0.07,0.48
Secret Weapons Over Normandy,2003,Simulation,LucasArts,0.24,0.18,0,0.06,0.48
NCAA Football 09,2008,Sports,Electronic Arts,0.4,0.02,0,0.07,0.48
Bratz: The Movie,2007,Simulation,THQ,0.24,0.18,0,0.06,0.48
Theme Park Roller Coaster,2000,Strategy,Electronic Arts,0.23,0.18,0,0.06,0.48
Up,2009,Action,THQ,0.19,0.05,0,0.24,0.48
World of Outlaws: Sprint Cars 2002,2002,Racing,Ignition Entertainment,0.23,0.18,0,0.06,0.48
Fantavision,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47
X-Men: Next Dimension,2002,Fighting,Activision,0.23,0.18,0,0.06,0.47
The Godfather (JP sales),2006,Action,Electronic Arts,0.39,0.02,0,0.06,0.47
ICO,2001,Action,Sony Computer Entertainment,0.23,0.18,0,0.06,0.47
Victorious Boxers: Ippo's Road to Glory,2000,Fighting,Empire Interactive,0.05,0.04,0.38,0.01,0.47
Valkyrie Profile 2: Silmeria,2006,Role-Playing,Square Enix,0.04,0.03,0.39,0.01,0.47
Hot Wheels Velocity X,2002,Racing,THQ,0.23,0.18,0,0.06,0.47
L.A. Rush,2005,Racing,Midway Games,0.23,0.18,0,0.06,0.47
NBA Ballers: Phenom,2006,Sports,Midway Games,0.23,0.18,0,0.06,0.47
World Soccer Winning Eleven 8: Liveware Evolution,2005,Sports,Konami Digital Entertainment,0,0,0.47,0,0.47
Cars: Race-O-Rama,2009,Racing,THQ,0.27,0.03,0,0.17,0.47
Downhill Domination,2003,Racing,Codemasters,0.23,0.18,0,0.06,0.47
World Series of Poker,2005,Misc,Activision,0.39,0.01,0,0.06,0.47
Godzilla: Save the Earth,2004,Fighting,Atari,0.23,0.18,0,0.06,0.47
Mat Hoffman's Pro BMX 2,2002,Sports,Activision,0.23,0.18,0,0.06,0.46
Metal Gear Solid: The Essential Collection,2007,Adventure,Konami Digital Entertainment,0.23,0.18,0,0.06,0.46
Rygar: The Legendary Adventure,2002,Action,Wanadoo,0.2,0.15,0.06,0.05,0.46
Kessen II,2001,Strategy,THQ,0.13,0.1,0.2,0.03,0.46
SingStar Amped,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.06,0.46
Brothers In Arms: Earned in Blood,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46
Dragon Ball Z: Sagas,2005,Fighting,Atari,0.38,0.01,0,0.06,0.46
Brothers In Arms: Road to Hill 30,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46
The Mark of Kri,2002,Action,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46
Jampack Winter 2003 (RP-M),2003,Misc,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46
Jak and Daxter: The Lost Frontier,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.06,0.46
Momotarou Dentetsu 11,2002,Misc,Hudson Soft,0,0,0.46,0,0.46
Delta Force: Black Hawk Down,2005,Shooter,NovaLogic,0.22,0.17,0,0.06,0.46
.hack//Outbreak Part 3,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
Jikkyou Powerful Pro Yakyuu 12,2005,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45
The Powerpuff Girls: Relish Rampage,2002,Action,BAM! Entertainment,0.22,0.17,0,0.06,0.45
NFL Head Coach,2006,Sports,Electronic Arts,0.38,0.01,0,0.06,0.45
Area 51,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45
NHL 2005,2004,Sports,Electronic Arts,0.22,0.17,0,0.06,0.45
World Soccer Winning Eleven 5 Final Evolution,2001,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45
Sphinx and the Cursed Mummy,2003,Action,THQ,0.22,0.17,0,0.06,0.45
Shin Megami Tensei: Persona 3,2006,Role-Playing,Tecmo Koei,0.22,0.03,0,0.2,0.45
SingStar Take That,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.39,0.45
Disney Sing It! High School Musical 3: Senior Year,2008,Misc,Disney Interactive Studios,0.09,0.02,0,0.34,0.45
Samurai Warriors: Xtreme Legends,2004,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45
Sled Storm,2002,Racing,Electronic Arts,0.22,0.17,0,0.06,0.45
Scooby-Doo! Mystery Mayhem,2004,Action,THQ,0.22,0.17,0,0.06,0.45
Yu-Gi-Oh! Capsule Monster Coliseum,2004,Misc,Konami Digital Entertainment,0.22,0.17,0,0.06,0.44
Major League Baseball 2K6,2006,Sports,Spike,0.37,0.01,0,0.06,0.44
Jampack Volume 13 (RP-M),2005,Misc,Sony Computer Entertainment,0.37,0.01,0,0.06,0.44
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004,Action,Konami Digital Entertainment,0.22,0.17,0,0.06,0.44
"SpongeBob SquarePants: Lights, Camera, Pants!",2005,Misc,THQ,0.37,0.01,0,0.06,0.44
The Thing,2002,Adventure,Vivendi Games,0.22,0.17,0,0.06,0.44
Van Helsing,2004,Action,Activision,0.22,0.17,0,0.06,0.44
Spawn: Armageddon,2003,Action,Electronic Arts,0.22,0.17,0,0.06,0.44
Battlefield 2: Modern Combat,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,0.44
Gundam SEED: Federation vs. Z.A.F.T.,2005,Shooter,Namco Bandai Games,0,0,0.44,0,0.44
Super Robot Taisen OG: Original Generations,2007,Strategy,Banpresto,0,0,0.44,0,0.44
Jikkyou Powerful Pro Yakyuu 9,2002,Sports,Konami Digital Entertainment,0,0,0.44,0,0.44
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,2003,Misc,Namco Bandai Games,0,0,0.44,0,0.44
Naruto: Ultimate Ninja 3,2005,Fighting,Atari,0.36,0.01,0,0.06,0.44
SingStar Motown,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.38,0.44
Mobile Suit Gundam: One Year War,2005,Action,Namco Bandai Games,0,0,0.44,0,0.44
NFL Blitz 20-03,2002,Sports,Midway Games,0.21,0.17,0,0.06,0.44
SpongeBob's Atlantis SquarePantis,2007,Action,THQ,0.36,0.01,0,0.06,0.44
Primal,2003,Action,Sony Computer Entertainment,0.21,0.17,0,0.06,0.43
007: Quantum of Solace,2008,Action,Activision,0.17,0,0,0.26,0.43
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005,Action,Disney Interactive Studios,0.36,0.01,0,0.06,0.43
Bionicle,2003,Action,Electronic Arts,0.21,0.17,0,0.06,0.43
TimeSplitters,2000,Shooter,Eidos Interactive,0.21,0.17,0,0.06,0.43
InuYasha: The Secret of the Cursed Mask,2004,Role-Playing,Namco Bandai Games,0.21,0.17,0,0.06,0.43
Ghostbusters: The Video Game,2009,Action,Atari,0.15,0.04,0,0.24,0.43
Hunter: The Reckoning  Wayward,2003,Action,Interplay,0.21,0.16,0,0.06,0.43
EyeToy: AntiGrav,2004,Sports,Sony Computer Entertainment,0.36,0.01,0,0.06,0.43
EverQuest Online Adventures,2003,Role-Playing,Sony Online Entertainment,0.21,0.16,0,0.05,0.43
Mobile Suit Gundam: Zeonic Front,2001,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43
Monopoly,2008,Misc,Electronic Arts,0.21,0.16,0,0.05,0.43
Dawn of Mana,2006,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43
Bakugan: Battle Brawlers,2009,Action,Activision,0.21,0.16,0,0.05,0.43
SEGA Classics Collection,2005,Misc,Sega,0.21,0.16,0,0.05,0.43
The Legend of Spyro: The Eternal Night,2007,Platform,Vivendi Games,0.21,0.16,0,0.05,0.42
25 to Life,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42
NHL 2K6,2005,Sports,Take-Two Interactive,0.21,0.16,0,0.05,0.42
Dog's Life,2003,Adventure,Sony Computer Entertainment,0.21,0.16,0,0.05,0.42
All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,0.21,0.16,0,0.05,0.42
Hot Wheels World Race,2003,Racing,THQ,0.21,0.16,0,0.05,0.42
Avatar: The Last Airbender - The Burning Earth,2007,Action,THQ,0.21,0.16,0,0.05,0.42
Superman: Shadow of Apokolips,2002,Action,Atari,0.21,0.16,0,0.05,0.42
American Chopper,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42
Jikkyou Powerful Pro Yakyuu 11,2004,Sports,Konami Digital Entertainment,0,0,0.42,0,0.42
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003,Action,THQ,0.21,0.16,0,0.05,0.42
MLB 08: The Show,2008,Sports,Sony Computer Entertainment,0.35,0.01,0,0.06,0.42
Cabela's Legendary Adventures,2008,Sports,Activision,0.21,0.16,0,0.05,0.42
Thrillville: Off the Rails,2007,Strategy,LucasArts,0.2,0.16,0,0.05,0.42
BloodRayne,2002,Shooter,Universal Interactive,0.2,0.16,0,0.05,0.42
Castlevania: Curse of Darkness,2005,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42
Pirates of the Caribbean: At World's End,2007,Action,Disney Interactive Studios,0.2,0.16,0,0.05,0.42
High Rollers Casino,2004,Misc,Mud Duck Productions,0.2,0.16,0,0.05,0.42
The Suffering,2004,Action,Midway Games,0.2,0.16,0,0.05,0.42
NBA Jam,2003,Sports,Acclaim Entertainment,0.2,0.16,0,0.05,0.41
Zone of the Enders: The 2nd Runner,2003,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41
Jampack Spring 2004 (RP-T),2003,Misc,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41
NFL GameDay 2004,2003,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41
pro evolution soccer 2011,2010,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41
Crash of the Titans,2007,Action,Vivendi Games,0.34,0.01,0,0.06,0.41
MLB 10: The Show,2010,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41
Jimmy Neutron: Boy Genius,2002,Platform,THQ,0.2,0.16,0,0.05,0.41
X-Men: The Official Game,2006,Action,Activision,0.2,0.16,0,0.05,0.41
Nicktoons: Unite!,2005,Adventure,THQ,0.34,0.01,0,0.06,0.41
Boku no Natsuyasumi 2: Umi no Bouken Hen,2002,Adventure,Sony Computer Entertainment,0,0,0.41,0,0.41
The Terminator: Dawn of Fate,2002,Action,Atari,0.2,0.16,0,0.05,0.41
Rogue Galaxy: Director's Cut,2007,Role-Playing,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41
Band Hero,2009,Misc,Activision,0.15,0.06,0,0.2,0.41
Armored Core 2: Another Age,2001,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41
Buzz! Junior: Jungle Party,2006,Misc,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41
NBA 2K11,2010,Action,Take-Two Interactive,0.34,0.01,0,0.06,0.41
NBA 2K9,2008,Sports,Take-Two Interactive,0.34,0.01,0,0.06,0.41
Marvel: Ultimate Alliance 2,2009,Role-Playing,Activision,0.23,0.02,0,0.16,0.41
"Ed, Edd n Eddy: The Mis-Edventures",2005,Platform,Midway Games,0.34,0.01,0,0.06,0.41
Disney's Tarzan Untamed,2001,Platform,Ubisoft,0.2,0.16,0,0.05,0.41
From Russia With Love,2005,Action,Electronic Arts,0.34,0.01,0,0.06,0.41
Minority Report: Everybody Runs,2002,Action,Activision,0.2,0.15,0,0.05,0.41
NBA 2K10,2009,Sports,Take-Two Interactive,0.33,0.01,0,0.05,0.4
Defender,2002,Misc,Midway Games,0.2,0.15,0,0.05,0.4
NFL GameDay 2003,N/A,Sports,Unknown,0.2,0.15,0,0.05,0.4
Gauntlet: Seven Sorrows,2005,Role-Playing,Midway Games,0.2,0.15,0,0.05,0.4
Warriors Orochi 2 (JP sales),2008,Action,Tecmo Koei,0,0,0.4,0,0.4
The Chronicles of Narnia: Prince Caspian,2008,Action,Disney Interactive Studios,0.2,0.15,0,0.05,0.4
The Legend of Spyro: Dawn of the Dragon,2008,Platform,Vivendi Games,0.12,0.01,0,0.27,0.4
18 Wheeler: American Pro Trucker,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4
Atari Anthology,2004,Misc,Atari,0.33,0.01,0,0.05,0.4
Hot Wheels: Beat That!,2007,Racing,Activision,0.2,0.15,0,0.05,0.4
MLB 2006,2005,Sports,Sony Computer Entertainment,0.33,0.01,0,0.05,0.4
Brunswick Pro Bowling,2007,Sports,505 Games,0.2,0.15,0,0.05,0.4
I-Ninja,2003,Platform,Sony Computer Entertainment,0.19,0.15,0,0.05,0.4
Harvest Moon: Save the Homeland,N/A,Simulation,Unknown,0.19,0.15,0,0.05,0.4
SD Gundam G Generation Seed,2004,Strategy,Namco Bandai Games,0,0,0.4,0,0.4
Suzuki TT Superbikes,2005,Racing,Jester Interactive,0.33,0.01,0,0.05,0.4
Rumble Roses,2004,Fighting,Konami Digital Entertainment,0.19,0.15,0,0.05,0.39
Fantastic Four: Rise of the Silver Surfer,2007,Action,Take-Two Interactive,0.19,0.15,0,0.05,0.39
Juiced 2: Hot Import Nights,2007,Racing,THQ,0.19,0.15,0.01,0.05,0.39
Mobile Suit Gundam: Lost War Chronicles,2002,Shooter,Namco Bandai Games,0,0,0.39,0,0.39
NBA Live 09,2008,Sports,Electronic Arts,0.32,0.01,0.01,0.05,0.39
Jampack Winter 2003 (RP-T),2003,Misc,Sony Computer Entertainment,0.19,0.15,0,0.05,0.39
Kengo: Master of Bushido,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39
Blood Omen 2,2002,Action,Eidos Interactive,0.19,0.15,0,0.05,0.39
Cabela's Dangerous Hunts 2,2005,Sports,Activision,0.19,0.15,0,0.05,0.39
Chessmaster,2003,Misc,Ubisoft,0.19,0.15,0,0.05,0.39
Ice Age 2: The Meltdown,2006,Platform,Vivendi Games,0.19,0.15,0,0.05,0.39
Auto Modellista,2002,Racing,Capcom,0.19,0.15,0,0.05,0.39
Tiger Woods PGA Tour 08,2007,Sports,Electronic Arts,0.19,0.15,0,0.05,0.39
Karaoke Revolution Presents American Idol Encore,2008,Misc,Konami Digital Entertainment,0.19,0.15,0,0.05,0.39
Evil Dead: Fistfull of Boomstick,2003,Action,THQ,0.19,0.15,0,0.05,0.38
Shin Megami Tensei: Nocturne,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,0.38
Looney Tunes: Acme Arsenal,2007,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,0.38
SD Gundam G Generation Spirits,2007,Strategy,Namco Bandai Games,0,0,0.38,0,0.38
NFL GameDay 2002,2001,Sports,Sony Computer Entertainment,0.19,0.15,0,0.05,0.38
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,2002,Strategy,Namco Bandai Games,0,0,0.38,0,0.38
Sega Superstars Tennis,2008,Sports,Sega,0.1,0,0,0.28,0.38
Headhunter,2002,Action,Sega,0.19,0.15,0,0.05,0.38
Bratz: Rock Angelz,2005,Misc,THQ,0.19,0.15,0,0.05,0.38
FlatOut,2004,Racing,Empire Interactive,0.19,0.15,0,0.05,0.38
NCAA Football 11,2010,Sports,Electronic Arts,0.19,0.15,0,0.05,0.38
Risk: Global Domination,2003,Strategy,Atari,0.19,0.15,0,0.05,0.38
Grandia Xtreme,2002,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38
Silent Scope,2000,Shooter,Konami Digital Entertainment,0.19,0.15,0,0.05,0.38
Dora The Explorer: Dora Saves the Snow Princess,2008,Platform,Take-Two Interactive,0.19,0.15,0,0.05,0.38
The Incredible Hulk,2008,Action,Sega,0.32,0.01,0,0.05,0.38
Mercenaries 2: World in Flames,2008,Shooter,Electronic Arts,0.21,0,0,0.17,0.38
MX vs. ATV Untamed,2007,Racing,THQ,0.32,0.01,0,0.05,0.38
Madagascar: Escape 2 Africa,2008,Action,Activision,0.12,0,0,0.26,0.38
EyeToy Play 2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,0.38
WWE SmackDown vs. Raw 2011,2010,Fighting,THQ,0.24,0.07,0,0.07,0.38
Super Dragon Ball Z,2006,Fighting,Atari,0.09,0.07,0.19,0.02,0.37
Tiger Woods PGA Tour 09,2008,Sports,Electronic Arts,0.16,0,0,0.21,0.37
Petz: Catz 2,2006,Simulation,Ubisoft,0.18,0.14,0,0.05,0.37
Reel Fishing III,2003,Sports,Natsume,0.18,0.14,0,0.05,0.37
Cabela's Deer Hunt 2005 Season,2004,Sports,Activision,0.18,0.14,0,0.05,0.37
Rampage: Total Destruction,2006,Action,Midway Games,0.18,0.14,0,0.05,0.37
High Heat Major League Baseball 2003,2002,Sports,3DO,0.18,0.14,0,0.05,0.37
Spider-Man: Friend or Foe,2007,Action,Activision,0.31,0.01,0,0.05,0.37
FIFA Street 2,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37
Xenosaga Episode III: Also sprach Zarathustra,2006,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02,0.37
The Sims 2: Castaway,2007,Simulation,Electronic Arts,0.3,0.01,0,0.05,0.37
Dragon Ball Z: Infinite World,2008,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36
ESPN X Games Skateboarding,2001,Sports,Konami Digital Entertainment,0.18,0.14,0,0.05,0.36
Kamaitachi no Yoru 2,2002,Adventure,ChunSoft,0,0,0.36,0,0.36
High Heat Major League Baseball 2004,2003,Sports,3DO,0.18,0.14,0,0.05,0.36
Robots,2005,Action,Vivendi Games,0.18,0.14,0,0.05,0.36
NARC,2005,Shooter,Midway Games,0.18,0.14,0,0.05,0.36
Monster Rancher 3,2001,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,0.36
The Incredibles: Rise of the Underminer,2005,Action,THQ,0.18,0.14,0,0.05,0.36
Okage: Shadow King,2001,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.36
NFL GameDay 2001,2000,Sports,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36
Naruto: Ultimate Ninja 3 (JP sales),2005,Fighting,Atari,0,0,0.36,0,0.36
Rapala Pro Fishing,2004,Sports,Zoo Digital Publishing,0.18,0.14,0,0.05,0.36
J-League Pro Soccer Club o Tsukurou '04,2004,Sports,Sega,0,0,0.36,0,0.36
Disney's The Haunted Mansion,2003,Platform,Take-Two Interactive,0.18,0.14,0,0.05,0.36
Arc the Lad: Twilight of the Spirits,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36
Arctic Thunder,2001,Racing,Midway Games,0.17,0.14,0,0.05,0.36
NHL 2K10,2009,Sports,Take-Two Interactive,0.17,0.14,0,0.05,0.36
Cabela's Outdoor Adventures (2006),2005,Sports,Zoo Digital Publishing,0.17,0.14,0,0.05,0.35
Suikoden V,2006,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02,0.35
Outlaw Golf 2,2004,Sports,Global Star,0.17,0.14,0,0.05,0.35
Momotarou Dentetsu 12,2003,Misc,Hudson Soft,0,0,0.35,0,0.35
Batman: Rise of Sin Tzu,2003,Action,Ubisoft,0.17,0.13,0,0.05,0.35
Jikkyou Powerful Pro Yakyuu 13,2006,Sports,Konami Digital Entertainment,0,0,0.35,0,0.35
Bloody Roar 3,2001,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04,0.35
WWE Crush Hour,2003,Racing,THQ,0.17,0.13,0,0.04,0.35
Resident Evil: Dead Aim,2003,Action,Capcom,0.17,0.13,0,0.04,0.35
The Fairly Odd Parents: Shadow Showdown,2004,Platform,THQ,0.17,0.13,0,0.04,0.35
College Hoops 2K8,2007,Sports,Take-Two Interactive,0.17,0.13,0,0.04,0.35
Guitar Hero: Metallica,2009,Misc,Activision,0.17,0.13,0,0.04,0.35
Guilty Gear X2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35
Tom Clancy's Rainbow Six: Lockdown,2005,Shooter,Ubisoft,0.17,0.13,0,0.04,0.35
The Tale of Despereaux,2008,Platform,Brash Entertainment,0.17,0.13,0,0.04,0.35
Aggressive Inline,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04,0.35
Karaoke Revolution,2003,Misc,Konami Digital Entertainment,0.17,0.13,0,0.04,0.35
Metal Arms: Glitch in the System,2003,Shooter,Vivendi Games,0.17,0.13,0,0.04,0.35
Jikkyou Powerful Pro Yakyuu 7,2000,Sports,Konami Digital Entertainment,0,0,0.35,0,0.35
EverGrace,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35
Rugrats: Royal Ransom,2002,Platform,THQ,0.17,0.13,0,0.04,0.35
Charlie and the Chocolate Factory,2005,Adventure,Global Star,0.17,0.13,0,0.04,0.35
High School Musical 3: Senior Year DANCE!,2008,Misc,Disney Interactive Studios,0.17,0.13,0,0.04,0.34
Dynasty Warriors 5 Empires,2006,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34
Monster Rancher 4,2003,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,2004,Adventure,Disney Interactive Studios,0.17,0.13,0,0.04,0.34
MotorStorm: Arctic Edge,2009,Racing,Sony Computer Entertainment,0.07,0.03,0,0.25,0.34
Super Bust-A-Move,2000,Puzzle,Acclaim Entertainment,0.17,0.13,0,0.04,0.34
Thunderstrike: Operation Phoenix,2001,Simulation,Eidos Interactive,0.17,0.13,0,0.04,0.34
Leisure Suit Larry: Magna Cum Laude,2004,Adventure,Vivendi Games,0.17,0.13,0,0.04,0.34
Disney Sing It: Pop Hits,2009,Misc,Disney Interactive Studios,0.1,0.02,0,0.22,0.34
Dynasty Warriors: Gundam 2,2008,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34
MXRider,2001,Racing,Atari,0.16,0.13,0,0.04,0.34
World Championship Poker 2: Featuring Howard Lederer,2005,Misc,Oxygen Interactive,0.16,0.13,0,0.04,0.34
Beyond Good & Evil,2003,Adventure,Ubisoft,0.16,0.13,0,0.04,0.33
Klonoa 2: Lunatea's Veil,2001,Platform,Sony Computer Entertainment,0.12,0.1,0.08,0.03,0.33
Disney's Treasure Planet,2002,Action,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33
Kelly Slater's Pro Surfer,2002,Sports,Activision,0.16,0.13,0,0.04,0.33
Legends of Wrestling II,2002,Fighting,Acclaim Entertainment,0.16,0.13,0,0.04,0.33
MLB 09: The Show,2009,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33
Cool Boarders 2001,2001,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33
Scooby-Doo! First Frights,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0,0.16,0.33
Way of the Samurai 2,2003,Action,Capcom,0.05,0.04,0.23,0.01,0.33
Disgaea 2: Cursed Memories,2006,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33
Clock Tower 3,2002,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33
Disgaea: Hour of Darkness,2003,Role-Playing,Tecmo Koei,0.16,0.13,0,0.04,0.33
NeoGeo Battle Coliseum,2005,Fighting,Ignition Entertainment,0.16,0.13,0,0.04,0.33
Samurai Warriors 2: Xtreme Legends (JP sales),2007,Action,Tecmo Koei,0,0,0.33,0,0.33
Pinball Hall of Fame: The Gottlieb Collection,2004,Misc,Play It,0.16,0.12,0,0.04,0.33
Nicktoons: Movin',2004,Action,THQ,0.16,0.12,0,0.04,0.32
SWAT: Global Strike Team,2003,Shooter,Vivendi Games,0.16,0.12,0,0.04,0.32
Kinetica,2001,Racing,Sony Computer Entertainment,0.16,0.12,0,0.04,0.32
